,make,body_style,engine_location,aspiration,drive_wheels,wheel_base,width,curb_weight,engine_size,bore,horsepower,price
0,alfa-romero,convertible,front,std,rwd,88.6,64.1,2548,130,3.47,111.0,13495.0
1,alfa-romero,convertible,front,std,rwd,88.6,64.1,2548,130,3.47,111.0,16500.0
2,alfa-romero,hatchback,front,std,rwd,94.5,65.5,2823,152,2.68,154.0,16500.0
3,audi,sedan,front,std,fwd,99.8,66.2,2337,109,3.19,102.0,13950.0
4,audi,sedan,front,std,4wd,99.4,66.4,2824,136,3.19,115.0,17450.0
5,audi,sedan,front,std,fwd,99.8,66.3,2507,136,3.19,110.0,15250.0
6,audi,sedan,front,std,fwd,105.8,71.4,2844,136,3.19,110.0,17710.0
7,audi,wagon,front,std,fwd,105.8,71.4,2954,136,3.19,110.0,18920.0
8,audi,sedan,front,turbo,fwd,105.8,71.4,3086,131,3.13,140.0,23875.0
9,bmw,sedan,front,std,rwd,101.2,64.8,2395,108,3.5,101.0,16430.0
10,bmw,sedan,front,std,rwd,101.2,64.8,2395,108,3.5,101.0,16925.0
11,bmw,sedan,front,std,rwd,101.2,64.8,2710,164,3.31,121.0,20970.0
12,bmw,sedan,front,std,rwd,101.2,64.8,2765,164,3.31,121.0,21105.0
13,bmw,sedan,front,std,rwd,103.5,66.9,3055,164,3.31,121.0,24565.0
14,bmw,sedan,front,std,rwd,103.5,66.9,3230,209,3.62,182.0,30760.0
15,bmw,sedan,front,std,rwd,103.5,67.9,3380,209,3.62,182.0,41315.0
16,bmw,sedan,front,std,rwd,110.0,70.9,3505,209,3.62,182.0,36880.0
17,chevrolet,hatchback,front,std,fwd,88.4,60.3,1488,61,2.91,48.0,5151.0
18,chevrolet,hatchback,front,std,fwd,94.5,63.6,1874,90,3.03,70.0,6295.0
19,chevrolet,sedan,front,std,fwd,94.5,63.6,1909,90,3.03,70.0,6575.0
20,dodge,hatchback,front,std,fwd,93.7,63.8,1876,90,2.97,68.0,5572.0
21,dodge,hatchback,front,std,fwd,93.7,63.8,1876,90,2.97,68.0,6377.0
22,dodge,hatchback,front,turbo,fwd,93.7,63.8,2128,98,3.03,102.0,7957.0
23,dodge,hatchback,front,std,fwd,93.7,63.8,1967,90,2.97,68.0,6229.0
24,dodge,sedan,front,std,fwd,93.7,63.8,1989,90,2.97,68.0,6692.0
25,dodge,sedan,front,std,fwd,93.7,63.8,1989,90,2.97,68.0,7609.0
26,dodge,sedan,front,turbo,fwd,93.7,63.8,2191,98,3.03,102.0,8558.0
27,dodge,wagon,front,std,fwd,103.3,64.6,2535,122,3.34,88.0,8921.0
28,dodge,hatchback,front,turbo,fwd,95.9,66.3,2811,156,3.6,145.0,12964.0
29,honda,hatchback,front,std,fwd,86.6,63.9,1713,92,2.91,58.0,6479.0
30,honda,hatchback,front,std,fwd,86.6,63.9,1819,92,2.91,76.0,6855.0
31,honda,hatchback,front,std,fwd,93.7,64.0,1837,79,2.91,60.0,5399.0
32,honda,hatchback,front,std,fwd,93.7,64.0,1940,92,2.91,76.0,6529.0
33,honda,hatchback,front,std,fwd,93.7,64.0,1956,92,2.91,76.0,7129.0
34,honda,sedan,front,std,fwd,96.5,64.0,2010,92,2.91,76.0,7295.0
35,honda,wagon,front,std,fwd,96.5,63.9,2024,92,2.92,76.0,7295.0
36,honda,hatchback,front,std,fwd,96.5,65.2,2236,110,3.15,86.0,7895.0
37,honda,hatchback,front,std,fwd,96.5,65.2,2289,110,3.15,86.0,9095.0
38,honda,sedan,front,std,fwd,96.5,65.2,2304,110,3.15,86.0,8845.0
39,honda,sedan,front,std,fwd,96.5,62.5,2372,110,3.15,86.0,10295.0
40,honda,sedan,front,std,fwd,96.5,65.2,2465,110,3.15,101.0,12945.0
41,honda,sedan,front,std,fwd,96.5,66.0,2293,110,3.15,100.0,10345.0
42,isuzu,sedan,front,std,rwd,94.3,61.8,2337,111,3.31,78.0,6785.0
43,isuzu,hatchback,front,std,rwd,96.0,65.2,2734,119,3.43,90.0,11048.0
44,jaguar,sedan,front,std,rwd,113.0,69.6,4066,258,3.63,176.0,32250.0
45,jaguar,sedan,front,std,rwd,113.0,69.6,4066,258,3.63,176.0,35550.0
46,jaguar,sedan,front,std,rwd,102.0,70.6,3950,326,3.54,262.0,36000.0
47,mazda,hatchback,front,std,fwd,93.1,64.2,1890,91,3.03,68.0,5195.0
48,mazda,hatchback,front,std,fwd,93.1,64.2,1900,91,3.03,68.0,6095.0
49,mazda,hatchback,front,std,fwd,93.1,64.2,1905,91,3.03,68.0,6795.0
50,mazda,sedan,front,std,fwd,93.1,64.2,1945,91,3.03,68.0,6695.0
51,mazda,sedan,front,std,fwd,93.1,64.2,1950,91,3.08,68.0,7395.0
52,mazda,hatchback,front,std,rwd,95.3,65.7,2380,70,3.3016072233715006,101.0,10945.0
53,mazda,hatchback,front,std,rwd,95.3,65.7,2380,70,3.3016072233715006,101.0,11845.0
54,mazda,hatchback,front,std,rwd,95.3,65.7,2385,70,3.3016072233715006,101.0,13645.0
55,mazda,hatchback,front,std,rwd,95.3,65.7,2500,80,3.3182114538700698,135.0,15645.0
56,mazda,hatchback,front,std,fwd,98.8,66.5,2385,122,3.39,84.0,8845.0
57,mazda,sedan,front,std,fwd,98.8,66.5,2410,122,3.39,84.0,8495.0
58,mazda,hatchback,front,std,fwd,98.8,66.5,2385,122,3.39,84.0,10595.0
59,mazda,sedan,front,std,fwd,98.8,66.5,2410,122,3.39,84.0,10245.0
60,mazda,sedan,front,std,fwd,98.8,66.5,2443,122,3.39,64.0,10795.0
61,mazda,hatchback,front,std,fwd,98.8,66.5,2425,122,3.39,84.0,11245.0
62,mazda,sedan,front,std,rwd,104.9,66.1,2670,140,3.76,120.0,18280.0
63,mazda,sedan,front,std,rwd,104.9,66.1,2700,134,3.43,72.0,18344.0
64,mercedes-benz,sedan,front,turbo,rwd,110.0,70.3,3515,183,3.58,123.0,25552.0
65,mercedes-benz,wagon,front,turbo,rwd,110.0,70.3,3750,183,3.58,123.0,28248.0
66,mercedes-benz,hardtop,front,turbo,rwd,106.7,70.3,3495,183,3.58,123.0,28176.0
67,mercedes-benz,sedan,front,turbo,rwd,115.6,71.7,3770,183,3.58,123.0,31600.0
68,mercedes-benz,sedan,front,std,rwd,115.6,71.7,3740,234,3.46,155.0,34184.0
69,mercedes-benz,convertible,front,std,rwd,96.6,70.5,3685,234,3.46,155.0,35056.0
70,mercedes-benz,sedan,front,std,rwd,120.9,71.7,3900,308,3.8,184.0,40960.0
71,mercedes-benz,hardtop,front,std,rwd,112.0,72.0,3715,304,3.8,184.0,45400.0
72,mercury,hatchback,front,turbo,rwd,102.7,68.0,2910,140,3.78,175.0,16503.0
73,mitsubishi,hatchback,front,std,fwd,93.7,64.4,1918,92,2.97,68.0,5389.0
74,mitsubishi,hatchback,front,std,fwd,93.7,64.4,1944,92,2.97,68.0,6189.0
75,mitsubishi,hatchback,front,std,fwd,93.7,64.4,2004,92,2.97,68.0,6669.0
76,mitsubishi,hatchback,front,turbo,fwd,93.0,63.8,2145,98,3.03,102.0,7689.0
77,mitsubishi,hatchback,front,turbo,fwd,96.3,65.4,2370,110,3.17,116.0,9959.0
78,mitsubishi,hatchback,front,std,fwd,96.3,65.4,2328,122,3.35,88.0,8499.0
79,mitsubishi,hatchback,front,turbo,fwd,95.9,66.3,2833,156,3.58,145.0,12629.0
80,mitsubishi,hatchback,front,turbo,fwd,95.9,66.3,2921,156,3.59,145.0,14869.0
81,mitsubishi,hatchback,front,turbo,fwd,95.9,66.3,2926,156,3.59,145.0,14489.0
82,mitsubishi,sedan,front,std,fwd,96.3,65.4,2365,122,3.35,88.0,6989.0
83,mitsubishi,sedan,front,std,fwd,96.3,65.4,2405,122,3.35,88.0,8189.0
84,mitsubishi,sedan,front,turbo,fwd,96.3,65.4,2403,110,3.17,116.0,9279.0
85,mitsubishi,sedan,front,std,fwd,96.3,65.4,2403,110,3.17,116.0,9279.0
86,nissan,sedan,front,std,fwd,94.5,63.8,1889,97,3.15,69.0,5499.0
87,nissan,sedan,front,std,fwd,94.5,63.8,2017,103,2.99,55.0,7099.0
88,nissan,sedan,front,std,fwd,94.5,63.8,1918,97,3.15,69.0,6649.0
89,nissan,sedan,front,std,fwd,94.5,63.8,1938,97,3.15,69.0,6849.0
90,nissan,wagon,front,std,fwd,94.5,63.8,2024,97,3.15,69.0,7349.0
91,nissan,sedan,front,std,fwd,94.5,63.8,1951,97,3.15,69.0,7299.0
92,nissan,hatchback,front,std,fwd,94.5,63.8,2028,97,3.15,69.0,7799.0
93,nissan,sedan,front,std,fwd,94.5,63.8,1971,97,3.15,69.0,7499.0
94,nissan,wagon,front,std,fwd,94.5,63.8,2037,97,3.15,69.0,7999.0
95,nissan,hardtop,front,std,fwd,95.1,63.8,2008,97,3.15,69.0,8249.0
96,nissan,hatchback,front,std,fwd,97.2,65.2,2324,120,3.33,97.0,8949.0
97,nissan,sedan,front,std,fwd,97.2,65.2,2302,120,3.33,97.0,9549.0
98,nissan,sedan,front,std,fwd,100.4,66.5,3095,181,3.43,152.0,13499.0
99,nissan,wagon,front,std,fwd,100.4,66.5,3296,181,3.43,152.0,14399.0
100,nissan,sedan,front,std,fwd,100.4,66.5,3060,181,3.43,152.0,13499.0
101,nissan,hatchback,front,std,rwd,91.3,67.9,3071,181,3.43,160.0,17199.0
102,nissan,hatchback,front,turbo,rwd,91.3,67.9,3139,181,3.43,200.0,19699.0
103,nissan,hatchback,front,std,rwd,99.2,67.9,3139,181,3.43,160.0,18399.0
104,peugot,sedan,front,std,rwd,107.9,68.4,3020,120,3.46,97.0,11900.0
105,peugot,sedan,front,turbo,rwd,107.9,68.4,3197,152,3.7,95.0,13200.0
106,peugot,wagon,front,std,rwd,114.2,68.4,3230,120,3.46,97.0,12440.0
107,peugot,wagon,front,turbo,rwd,114.2,68.4,3430,152,3.7,95.0,13860.0
108,peugot,sedan,front,std,rwd,107.9,68.4,3075,120,3.46,95.0,15580.0
109,peugot,sedan,front,turbo,rwd,107.9,68.4,3252,152,3.7,95.0,16900.0
110,peugot,wagon,front,std,rwd,114.2,68.4,3285,120,3.46,95.0,16695.0
111,peugot,wagon,front,turbo,rwd,114.2,68.4,3485,152,3.7,95.0,17075.0
112,peugot,sedan,front,std,rwd,107.9,68.4,3075,120,3.46,97.0,16630.0
113,peugot,sedan,front,turbo,rwd,107.9,68.4,3252,152,3.7,95.0,17950.0
114,peugot,sedan,front,turbo,rwd,108.0,68.3,3130,134,3.61,142.0,18150.0
115,plymouth,hatchback,front,std,fwd,93.7,63.8,1918,90,2.97,68.0,5572.0
116,plymouth,hatchback,front,turbo,fwd,93.7,63.8,2128,98,3.03,102.0,7957.0
117,plymouth,hatchback,front,std,fwd,93.7,63.8,1967,90,2.97,68.0,6229.0
118,plymouth,sedan,front,std,fwd,93.7,63.8,1989,90,2.97,68.0,6692.0
119,plymouth,sedan,front,std,fwd,93.7,63.8,2191,98,2.97,68.0,7609.0
120,plymouth,wagon,front,std,fwd,103.3,64.6,2535,122,3.35,88.0,8921.0
121,plymouth,hatchback,front,turbo,rwd,95.9,66.3,2818,156,3.59,145.0,12764.0
122,porsche,hatchback,front,std,rwd,94.5,68.3,2778,151,3.94,143.0,22018.0
123,porsche,hardtop,rear,std,rwd,89.5,65.0,2756,194,3.74,207.0,32528.0
124,porsche,hardtop,rear,std,rwd,89.5,65.0,2756,194,3.74,207.0,34028.0
125,porsche,convertible,rear,std,rwd,89.5,65.0,2800,194,3.74,207.0,37028.0
126,renault,wagon,front,std,fwd,96.1,66.5,2579,132,3.46,107.21689159607165,9295.0
127,renault,hatchback,front,std,fwd,96.1,66.6,2460,132,3.46,115.18587828983077,9895.0
128,saab,hatchback,front,std,fwd,99.1,66.5,2658,121,3.54,110.0,11850.0
129,saab,sedan,front,std,fwd,99.1,66.5,2695,121,3.54,110.0,12170.0
130,saab,hatchback,front,std,fwd,99.1,66.5,2707,121,2.54,110.0,15040.0
131,saab,sedan,front,std,fwd,99.1,66.5,2758,121,3.54,110.0,15510.0
132,saab,hatchback,front,turbo,fwd,99.1,66.5,2808,121,3.54,160.0,18150.0
133,saab,sedan,front,turbo,fwd,99.1,66.5,2847,121,3.54,160.0,18620.0
134,subaru,hatchback,front,std,fwd,93.7,63.4,2050,97,3.62,69.0,5118.0
135,subaru,hatchback,front,std,fwd,93.7,63.6,2120,108,3.62,73.0,7053.0
136,subaru,hatchback,front,std,4wd,93.3,63.8,2240,108,3.62,73.0,7603.0
137,subaru,sedan,front,std,fwd,97.2,65.4,2145,108,3.62,82.0,7126.0
138,subaru,sedan,front,std,fwd,97.2,65.4,2190,108,3.62,82.0,7775.0
139,subaru,sedan,front,std,fwd,97.2,65.4,2340,108,3.62,94.0,9960.0
140,subaru,sedan,front,std,4wd,97.0,65.4,2385,108,3.62,82.0,9233.0
141,subaru,sedan,front,turbo,4wd,97.0,65.4,2510,108,3.62,111.0,11259.0
142,subaru,wagon,front,std,fwd,97.0,65.4,2290,108,3.62,82.0,7463.0
143,subaru,wagon,front,std,fwd,97.0,65.4,2455,108,3.62,94.0,10198.0
144,subaru,wagon,front,std,4wd,96.9,65.4,2420,108,3.62,82.0,8013.0
145,subaru,wagon,front,turbo,4wd,96.9,65.4,2650,108,3.62,111.0,11694.0
146,toyota,hatchback,front,std,fwd,95.7,63.6,1985,92,3.05,62.0,5348.0
147,toyota,hatchback,front,std,fwd,95.7,63.6,2040,92,3.05,62.0,6338.0
148,toyota,hatchback,front,std,fwd,95.7,63.6,2015,92,3.05,62.0,6488.0
149,toyota,wagon,front,std,fwd,95.7,63.6,2280,92,3.05,62.0,6918.0
150,toyota,wagon,front,std,4wd,95.7,63.6,2290,92,3.05,62.0,7898.0
151,toyota,wagon,front,std,4wd,95.7,63.6,3110,92,3.05,62.0,8778.0
152,toyota,sedan,front,std,fwd,95.7,64.4,2081,98,3.19,70.0,6938.0
153,toyota,hatchback,front,std,fwd,95.7,64.4,2109,98,3.19,70.0,7198.0
154,toyota,sedan,front,std,fwd,95.7,64.4,2275,110,3.27,56.0,7898.0
155,toyota,hatchback,front,std,fwd,95.7,64.4,2275,110,3.27,56.0,7788.0
156,toyota,sedan,front,std,fwd,95.7,64.4,2094,98,3.19,70.0,7738.0
157,toyota,hatchback,front,std,fwd,95.7,64.4,2122,98,3.19,70.0,8358.0
158,toyota,sedan,front,std,fwd,95.7,64.4,2140,98,3.19,70.0,9258.0
159,toyota,sedan,front,std,rwd,94.5,64.0,2169,98,3.19,70.0,8058.0
160,toyota,hatchback,front,std,rwd,94.5,64.0,2204,98,3.19,70.0,8238.0
161,toyota,sedan,front,std,rwd,94.5,64.0,2265,98,3.24,112.0,9298.0
162,toyota,hatchback,front,std,rwd,94.5,64.0,2300,98,3.24,112.0,9538.0
163,toyota,hardtop,front,std,rwd,98.4,65.6,2540,146,3.62,116.0,8449.0
164,toyota,hardtop,front,std,rwd,98.4,65.6,2536,146,3.62,116.0,9639.0
165,toyota,hatchback,front,std,rwd,98.4,65.6,2551,146,3.62,116.0,9989.0
166,toyota,hardtop,front,std,rwd,98.4,65.6,2679,146,3.62,116.0,11199.0
167,toyota,hatchback,front,std,rwd,98.4,65.6,2714,146,3.62,116.0,11549.0
168,toyota,convertible,front,std,rwd,98.4,65.6,2975,146,3.62,116.0,17669.0
169,toyota,sedan,front,std,fwd,102.4,66.5,2326,122,3.31,92.0,8948.0
170,toyota,sedan,front,turbo,fwd,102.4,66.5,2480,110,3.27,73.0,10698.0
171,toyota,hatchback,front,std,fwd,102.4,66.5,2414,122,3.31,92.0,9988.0
172,toyota,sedan,front,std,fwd,102.4,66.5,2414,122,3.31,92.0,10898.0
173,toyota,hatchback,front,std,fwd,102.4,66.5,2458,122,3.31,92.0,11248.0
174,toyota,hatchback,front,std,rwd,102.9,67.7,2976,171,3.27,161.0,16558.0
175,toyota,hatchback,front,std,rwd,102.9,67.7,3016,171,3.27,161.0,15998.0
176,toyota,sedan,front,std,rwd,104.5,66.5,3131,171,3.27,156.0,15690.0
177,toyota,wagon,front,std,rwd,104.5,66.5,3151,161,3.27,156.0,15750.0
178,volkswagen,sedan,front,std,fwd,97.3,65.5,2261,97,3.01,52.0,7775.0
179,volkswagen,sedan,front,std,fwd,97.3,65.5,2209,109,3.19,85.0,7975.0
180,volkswagen,sedan,front,std,fwd,97.3,65.5,2264,97,3.01,52.0,7995.0
181,volkswagen,sedan,front,std,fwd,97.3,65.5,2212,109,3.19,85.0,8195.0
182,volkswagen,sedan,front,std,fwd,97.3,65.5,2275,109,3.19,85.0,8495.0
183,volkswagen,sedan,front,turbo,fwd,97.3,65.5,2319,97,3.01,68.0,9495.0
184,volkswagen,sedan,front,std,fwd,97.3,65.5,2300,109,3.19,100.0,9995.0
185,volkswagen,convertible,front,std,fwd,94.5,64.2,2254,109,3.19,90.0,11595.0
186,volkswagen,hatchback,front,std,fwd,94.5,64.0,2221,109,3.19,90.0,9980.0
187,volkswagen,sedan,front,std,fwd,100.4,66.9,2661,136,3.19,110.0,13295.0
188,volkswagen,sedan,front,turbo,fwd,100.4,66.9,2579,97,3.01,68.0,13845.0
189,volkswagen,wagon,front,std,fwd,100.4,66.9,2563,109,3.19,88.0,12290.0
190,volvo,sedan,front,std,rwd,104.3,67.2,2912,141,3.78,114.0,12940.0
191,volvo,wagon,front,std,rwd,104.3,67.2,3034,141,3.78,114.0,13415.0
192,volvo,sedan,front,std,rwd,104.3,67.2,2935,141,3.78,114.0,15985.0
193,volvo,wagon,front,std,rwd,104.3,67.2,3042,141,3.78,114.0,16515.0
194,volvo,sedan,front,turbo,rwd,104.3,67.2,3045,130,3.62,162.0,18420.0
195,volvo,wagon,front,turbo,rwd,104.3,67.2,3157,130,3.62,162.0,18950.0
196,volvo,sedan,front,std,rwd,109.1,68.9,2952,141,3.78,114.0,16845.0
197,volvo,sedan,front,turbo,rwd,109.1,68.8,3049,141,3.78,160.0,19045.0
198,volvo,sedan,front,std,rwd,109.1,68.9,3012,173,3.58,134.0,21485.0
199,volvo,sedan,front,turbo,rwd,109.1,68.9,3217,145,3.01,106.0,22470.0
200,volvo,sedan,front,turbo,rwd,109.1,68.9,3062,141,3.78,114.0,22625.0
